task_id	strategy	run_id	round_id	commit	dev_score	confirm_score	blind_score	status	failure_type	training_seconds	lines_changed	description
neoantigen	constrained	1	9	24180e3	0.469535			discard		304.232842	56	Modified only `train.py`. Added `allele_scalar_logit_weight`, introduced a lightweight `AlleleScalarInteractionHead`, split the existing base scalar block into mut-side, wt-side, and shared views, and combined those with the existing HLA-conditioned mut-vs-wt interaction summary plus preference-delta hidden state. The new hidden state is fused into both the main contrast inputs and final conditioning, with a small auxiliary logit. No objective, sampling, pooling, or device-compatibility changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	10	21a0c83				discard	train_failed		33	Modified only `train.py`. Added a lightweight `base_scalar_pair_head` that splits the normalized base scalar block into mut-side, wt-side, and shared components, combines those with the existing HLA-conditioned preference-delta hidden state, and feeds the resulting representation into both the main WT-vs-Mut contrast inputs and final conditioning stack. No objective, loss weighting, sampling, pooling, or output-bias changes were made. Verification: `python -m py_compile train.py` passed. [train failed]
neoantigen	constrained	1	11	22aa831	0.550852			discard		304.259552	49	Read `program.md` and `train.py`, then modified only `train.py`. Added a small `ScalarPairContext` module, built a HLA-conditioned base-scalar pair hidden state from mut-side and wt-side binding scalars plus their difference/product and shared base context, and fused that hidden state into the existing WT-vs-Mut contrast inputs and final conditioning path. No objective, loss, sampling, pooling, or output-bias changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	12	95ab24a	0.310088			discard		303.737746	40	Read `program.md` and `train.py`, then modified only `train.py`. Added `rank_context_logit_weight` plus a small `RankContextHead` that consumes the existing comparison/context scalar block, the HLA-conditioned WT-vs-Mut preference delta hidden state, and the allele interaction delta (`mut_hla - wt_hla`). Its hidden state is fused back into the main contrast inputs and final conditioning path, with a small auxiliary logit. No loss, sampling, pooling, or device-compatibility changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	13	6a9d4fd	0.344130			discard		303.551687	10	Read `program.md` and `train.py`, then modified only `train.py`. Added a small base-binding scalar view to the existing scalar-contrast path by appending normalized mut-side binding scalars, wt-side binding scalars, and their WT-vs-Mut deltas before the HLA-conditioned scalar contrast head. This keeps the change at the scalar WT-vs-Mut representation level, with no objective, sampling, pooling, or device-compatibility changes. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	14	5bcb54b	0.730948			discard		303.862439	52	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `ScalarPreferenceContext` module and used it to derive side-specific mut and wt scalar contexts from the normalized base feature block (`mut` binding quartet, `wt` binding quartet, their delta/product, and shared base context). Those side-specific scalar contexts are appended to the existing HLA-conditioned mut and wt preference inputs before forming the WT-vs-Mut preference delta that feeds the main contrast path. No loss, sampling, pooling, or output-bias changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	15	38fc8b2	0.702654			discard		303.694452	22	Read `program.md` and `train.py`, then modified only `train.py`. Reworked the existing HLA preference branch so it now consumes one joint WT-vs-Mut allele-conditioned input block `[mut, wt, hla, mut*h=hla, wt*h=hla, mut-wt, |mut-wt|, mut_hla-wt_hla]` and produces the preference hidden state/logit directly, rather than subtracting two independently encoded mut and wt preference states. This is a small contrast-head/HLA-interaction change with no loss, sampling, pooling, or output-bias edits. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	16	1f52870	0.487798			discard		303.890130	33	Read `program.md` and `train.py`, then modified only `train.py`. Added `preference_pair_logit_weight` and a lightweight `preference_pair_head` that consumes the existing mut and wt HLA-conditioned preference hidden states, their delta, their interaction product, and the existing comparison/context scalar block when present. Its hidden state is fused into both the main WT-vs-Mut contrast inputs and final conditioning stack, with a small auxiliary logit. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	17	e670862	0.757758			keep		303.655370	59	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `PreferenceContextEncoder` that builds one shared scalar competition embedding from the normalized base scalar block (`mut` binding quartet, `wt` binding quartet, their delta/product, shared base context) plus the HLA-conditioned sequence interaction `mut_hla - wt_hla`. That shared embedding is appended to both mut and wt preference inputs before the existing WT-vs-Mut preference delta is computed. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	18	1e45872	0.728463			discard		303.696494	44	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `base_competition_context` encoder that consumes the same round-17 shared scalar competition inputs plus the existing HLA-conditioned preference delta hidden state. Its hidden state is appended to the main WT-vs-Mut contrast inputs and to final conditioning before fusion. No objective, loss, sampling, pooling, or output-bias changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	19	45fa684	0.759939			keep		303.597619	25	Read `program.md` and `train.py`, then modified only `train.py`. Added `preference_contrast_logit_weight` and a lightweight `preference_contrast_head` that consumes the existing mut and wt HLA-conditioned preference hidden states, their delta, their elementwise product, and the HLA-conditioned sequence competition term `mut_hla - wt_hla`. Its hidden state is fused into both the main WT-vs-Mut contrast inputs and final conditioning stack, with a small auxiliary logit. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	20	5a7871e	0.519500			discard		304.151291	63	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `PreferenceStateGate` that consumes the existing base scalar competition block plus the shared preference-context embedding, and uses it to produce separate mut-side and wt-side gates for the two HLA-conditioned preference hidden states before the current WT-vs-Mut preference delta and joint preference-contrast head are formed. No objective, loss weighting, sampling, pooling, or output-bias changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	21	7b16def	0.192887			discard		304.372866	55	Read `program.md` and `train.py`, then modified only `train.py`. Expanded the existing `preference_contrast_head` input so the round-17 shared scalar/HLA competition embedding is fed directly into the round-19 joint WT-vs-Mut preference-contrast head, while reusing the same shared context for both side-specific preference encoders. No objective, loss weighting, sampling, pooling, or output-bias changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	22	6adaf88	0.594486			discard		303.796545	8	Read `program.md` and `train.py`, then modified only `train.py`. Expanded `scalar_contrast_head` so the comparison/context scalar branch now consumes both the existing WT-vs-Mut preference delta hidden state and the existing joint preference-contrast hidden state, instead of conditioning on the preference delta alone. This is a narrow scalar/contrast representation change intended to preserve richer HLA-conditioned mut-vs-wt competition information inside the scalar contrast path while avoiding the direct round-21 wiring into the preference-contrast head. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	23	be78dcf	0.524782			discard		304.039141	8	Read `program.md` and `train.py`, then modified only `train.py`. Expanded `scalar_contrast_head` so the comparison/context scalar branch now consumes the existing WT-vs-Mut preference delta hidden state plus the direct HLA-conditioned sequence competition term `mut_hla - wt_hla`. This keeps the change narrow and representation-level, focused on scalar contrast plus HLA-conditioned interaction structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	24	2d62bff	0.519175			discard		303.736446	44	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_competition_context` encoder derived from the normalized base binding quartets (`mut`, `wt`, their delta, and product) plus the existing HLA-conditioned sequence competition term `mut_hla - wt_hla`. That compact competition embedding is fed directly into the existing joint WT-vs-Mut `preference_contrast_head`, while leaving objectives, scalar loss weighting, pooling, sampling, and output-bias behavior unchanged. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	25	f21651c	0.505936			discard		304.062597	34	Read `program.md` and `train.py`, then modified only `train.py`. Added a compact `PreferenceDeltaGate` and used it to form the WT-vs-Mut preference delta from a learned joint balance over mut and wt preference states, conditioned on `mut_hla - wt_hla` plus the existing shared base preference context when present. This keeps the change small, high-level, and representation-focused without touching losses, sampling, pooling, or other files. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	26	27acb1e	0.601852			discard		304.239502	42	Read `program.md` and `train.py`, then modified only `train.py`. Expanded `scalar_contrast_head` so the comparison/context scalar branch now consumes both the existing WT-vs-Mut preference delta hidden state and the kept round-17 shared preference-context embedding derived from base binding competition plus `mut_hla - wt_hla`. This keeps the edit narrow and representation-focused while preserving more HLA-conditioned scalar competition context inside the scalar contrast path. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	27	1c89c0a	0.668191			discard		304.763389	47	Read `program.md` and `train.py`, then modified only `train.py`. The existing `base_preference_context` encoder is now applied twice with ordered inputs: once for a mut-side context using `[mut_binding, wt_binding, mut-wt, product, shared_base, mut_hla-wt_hla]` and once for a wt-side context using the mirrored ordering `[wt_binding, mut_binding, wt-mut, product, shared_base, wt_hla-mut_hla]`. Those role-specific contexts are appended to the corresponding mut and wt preference inputs before the existing preference heads, while all downstream objectives and fusion structure remain unchanged. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	28	b42ea20	0.618468			discard		304.018917	21	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_balance_context` encoder that consumes the average of the mut and wt preference states, the magnitude of their difference, and the existing HLA-conditioned sequence competition term `mut_hla - wt_hla`. That hidden state is appended to the main WT-vs-Mut contrast inputs and to final conditioning before fusion, while leaving objectives, sampling, pooling, and output-bias behavior unchanged. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	29	27aa5df	0.541865			discard		303.562553	28	Read `program.md` and `train.py`, then modified only `train.py`. Added `interaction_balance_logit_weight` and a lightweight `interaction_balance_head` that consumes `average_peptide * hla`, the average of `mut_hla` and `wt_hla`, the magnitude `abs(mut_hla - wt_hla)`, and the existing comparison/context scalar block when present. Its hidden state is fused into both the main WT-vs-Mut contrast inputs and final conditioning stack, with a small auxiliary logit. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	30	0ea5005	0.534654			discard		303.909040	16	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_delta_refiner` that consumes the existing preference delta hidden state, the average of mut and wt preference states, the magnitude of that delta, and the direct HLA-conditioned interaction term `mut_hla - wt_hla`, then feeds a small residual refinement back into `preference_delta_hidden` before the existing scalar-contrast and main contrast heads. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	31	f567ea0	0.531127			discard		304.112668	18	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_balance_context` encoder that consumes the average of mut and wt preference states, the magnitude of their difference, and the direct HLA-conditioned sequence competition term `mut_hla - wt_hla`. That hidden state is now fed into the existing joint WT-vs-Mut `preference_contrast_head`, while leaving losses, sampling, pooling, and output-bias behavior unchanged. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	32	c2b619f	0.407471			discard		304.108217	23	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_balance_context` encoder that consumes the average of mut and wt preference states, the magnitude of their difference, and the direct HLA-conditioned interaction term `mut_hla - wt_hla`. Expanded `scalar_contrast_head` so the comparison/context scalar branch now consumes both the existing WT-vs-Mut preference delta hidden state and this new preference-balance context, while leaving the main preference-contrast head and objectives unchanged. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	33	f3a258e	0.755970			discard		304.637435	9	Read `program.md` and `train.py`, then modified only `train.py`. Expanded `preference_contrast_head` so the joint WT-vs-Mut preference-contrast branch now consumes three HLA-conditioned interaction views: the existing signed delta `mut_hla - wt_hla`, the absolute competition baseline `0.5 * (mut_hla + wt_hla)`, and the competition magnitude `abs(mut_hla - wt_hla)`. This keeps the change narrow and representation-focused around the WT-vs-Mut contrast path and HLA-conditioned interaction structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	34	e3d8fcc	0.569813			discard		303.847833	61	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `scalar_preference_context` encoder that consumes the normalized comparison/context scalar blocks together with three HLA-conditioned competition views: `mut_hla - wt_hla`, `0.5 * (mut_hla + wt_hla)`, and `abs(mut_hla - wt_hla)`. That compact context is appended only to the existing joint WT-vs-Mut `preference_contrast_head`, keeping the edit narrow and representation-focused around scalar feature blocks plus HLA-conditioned contrast structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	35	6b2942c	0.604090			discard		303.508870	30	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `scalar_hla_context` encoder that summarizes comparison/context scalars together with three HLA-conditioned interaction views: signed competition `mut_hla - wt_hla`, absolute support `average_peptide * hla`, and competition magnitude `abs(mut_hla - wt_hla)`. Expanded the existing `scalar_contrast_head` to consume that context alongside the prior scalar block and WT-vs-Mut preference delta, keeping the change narrow and representation-focused around scalar feature blocks plus HLA-conditioned contrast structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	36	1c72789	0.609913			discard		303.622651	28	Read `program.md` and `train.py`, then modified only `train.py`. Added a shared `scalar_preference_context` encoder that consumes the existing comparison/context scalar block together with three HLA-conditioned competition views: ordered signed competition (`mut_hla - wt_hla` for mut side, flipped for wt side), absolute support (`0.5 * (mut_hla + wt_hla)`), and competition magnitude (`abs(mut_hla - wt_hla)`). That compact context is appended directly to the existing mut and wt preference inputs before the WT-vs-Mut preference delta and downstream contrast heads are formed. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	37	9f486f1	0.677728			discard		303.932808	26	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `contrast_hla_context` encoder that summarizes comparison/context scalar blocks together with three HLA-conditioned interaction views: signed competition `mut_hla - wt_hla`, absolute support `0.5 * (mut_hla + wt_hla)`, and competition magnitude `abs(mut_hla - wt_hla)`. That hidden state now feeds the main WT-vs-Mut `contrast_head` and final conditioning stack, while all objectives, sampling, pooling, and output-bias behavior remain unchanged. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	38	f474743	0.717413			discard		303.888182	18	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_delta_context` encoder that refines `preference_delta_hidden` using six views: the existing preference delta, the mean and magnitude of mut/wt preference states, and three HLA-conditioned competition summaries `mut_hla - wt_hla`, `0.5 * (mut_hla + wt_hla)`, and `abs(mut_hla - wt_hla)`. This keeps the change narrow and representation-focused around the WT-vs-Mut contrast path and HLA-conditioned interaction structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	39	e029ae2	0.604408			discard		303.788505	26	Read `program.md` and `train.py`, then modified only `train.py`. Replaced the fixed-size `ContrastConditioner` with a small reusable `FeatureConditioner`, added `scalar_hla_gate`, and used it to affine-modulate the existing comparison/context scalar block with three HLA-conditioned interaction summaries: `average_peptide * hla`, `mut_hla - wt_hla`, and `abs(mut_hla - wt_hla)` before the scalar contrast branch runs. This keeps the change narrow and representation-focused around scalar feature blocks plus HLA-conditioned WT-vs-Mut contrast structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	40	86105b1	0.608646			discard		303.908024	36	Read `program.md` and `train.py`, then modified only `train.py`. Added a shared `preference_state_conditioner` that consumes ordered base binding scalars, shared base features, allele-specific peptide-HLA interaction (`mut_hla` or `wt_hla`), and signed competition (`mut_hla - wt_hla` with role-aware ordering) to affine-modulate the mut and wt preference hidden states before `preference_delta_hidden` is computed. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	41	188555b	0.217560			discard		303.957309	33	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `competition_context` encoder that consumes ordered mut/wt binding scalars, their delta and product, plus four HLA-conditioned interaction views: `mut_hla`, `wt_hla`, `mut_hla - wt_hla`, and `average_peptide * hla`. That hidden state is injected into both the existing `preference_contrast_head` and the main `contrast_head`, keeping the change narrow and focused on WT-vs-Mut contrast structure plus HLA-conditioned interactions. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	42	b89584f	0.402778			discard		303.990341	59	Read `program.md` and `train.py`, then modified only `train.py`. Added a shared `ordered_scalar_preference_context` encoder over the existing comparison/context scalar blocks and fed it into the mut-side and wt-side preference inputs with role-aware ordering: the comparison block is kept as-is for mut and sign-flipped for wt, while context scalars stay shared. This is a small representation change focused on scalar feature blocks plus the WT-vs-Mut preference/contrast path, with no loss, sampling, pooling, or output-bias changes. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	43	061adf1	0.772614			keep		304.057694	38	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `binding_contrast_context` encoder that summarizes ordered mut/wt binding scalars, their delta and product, plus two HLA-conditioned absolute competition views: `average_peptide * hla` and `mut_hla * wt_hla`. That hidden state now feeds the existing `scalar_contrast_head` and main `contrast_head`, keeping the change narrow and focused on scalar feature blocks plus WT-vs-Mut contrast structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	44	ab3c7be	0.747938			discard		304.258325	18	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_delta_refiner` that re-encodes `preference_delta_hidden` using four views: the raw mut-vs-wt preference delta, the mean of mut/wt preference states, the absolute preference separation, and the existing round-43 `binding_contrast_hidden` summarizing ordered binding scalars plus absolute HLA-conditioned competition (`average_peptide * hla`, `mut_hla * wt_hla`). This keeps the change narrow and focused on the WT-vs-Mut contrast structure plus HLA-conditioned interaction structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	45	94a474f	0.610041			discard		303.682734	23	Read `program.md` and `train.py`, then modified only `train.py`. Widened `preference_contrast_head` so it can consume `binding_contrast_hidden`, the existing round-43 encoder over ordered mut/wt binding scalars plus absolute HLA-conditioned competition (`average_peptide * hla`, `mut_hla * wt_hla`). In `forward`, that binding-competition context is now appended to the WT-vs-Mut preference-contrast input when available, keeping the change narrow and focused on the WT-vs-Mut contrast path plus HLA-conditioned interaction structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	46	8f9f0ff				discard	train_failed		28	Read `program.md` and `train.py`, then modified only `train.py`. Changed the default objective from `bce` to `hybrid_pairwise`, added a lightweight `ranking_context` encoder on top of the existing round-43 `binding_contrast_hidden`, and fed that ranking-aware hidden state into both the main WT-vs-Mut `contrast_head` and final fusion conditioning. The new context is built from `preference_delta_hidden`, `preference_contrast_hidden`, and the existing absolute HLA-conditioned binding-competition summary, keeping the edit small and aligned with scalar/contrast/HLA-interaction priorities. Verification: `python -m py_compile train.py` passed. [train failed]
neoantigen	constrained	1	47	fefcdb4	0.593349			discard		303.774151	30	Read `program.md` and `train.py`, then modified only `train.py`. Added a new default `competition` scalar block with eight absolute WT-vs-Mut binding-regime features: mean mut/wt log BA, mean EL, mean BA/EL ranks, absolute log BA and EL gaps, and mut-wt product terms for log BA and EL. Routed that block through the existing scalar tower, scalar contrast head, and contrast conditioner by extending the contrast-scalar block selection from `comparison/context` to `comparison/context/competition`. No loss, sampling, pooling, or output-bias changes were made. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	48	f5e6af5	0.602789			discard		304.498721	8	Read `program.md` and `train.py`, then modified only `train.py`. Widened the existing `contrast_conditioner` so it consumes both the selected comparison/context scalar block and, when available, the round-43 `binding_contrast_hidden` built from ordered mut/wt binding scalars plus absolute HLA-conditioned competition (`average_peptide * hla`, `mut_hla * wt_hla`). In `forward`, that HLA-conditioned competition state now modulates the existing `scalar_contrast_hidden` and `contrast_hidden` alongside the scalar inputs, keeping the change narrow and focused on scalar feature interpretation plus WT-vs-Mut contrast structure. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	49	c4a23f6	0.750054			discard		304.240778	14	Read `program.md` and `train.py`, then modified only `train.py`. Added `preference_contrast_conditioner`, a lightweight affine conditioner that consumes `binding_contrast_hidden` plus signed peptide-HLA competition `mut_hla - wt_hla`, and uses it to modulate the existing `preference_contrast_hidden` after `preference_contrast_head`. This keeps the edit narrow and representation-focused around the WT-vs-Mut contrast path plus HLA-conditioned interaction structure, while reusing the strongest prior signal from round 43 instead of adding a broader branch. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	50	aa13010	0.748236			discard		304.219401	26	Read `program.md` and `train.py`, then modified only `train.py`. Added `contrast_bridge_context`, a lightweight encoder over `preference_delta_hidden`, `preference_contrast_hidden`, and the existing round-43 `binding_contrast_hidden`, and injected that bridge state into both the main `contrast_head` and final fusion conditioning. This keeps the change narrow and focused on WT-vs-Mut contrast structure plus HLA-conditioned interaction structure, while reusing the strongest prior signal instead of changing losses or sampling. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	51	43e3ac4	0.625814			discard		303.615315	24	Read `program.md` and `train.py`, then modified only `train.py`. Added `hla_conditioned_scalar_context`, a lightweight encoder over comparison/context scalars, the existing `binding_contrast_hidden`, and signed peptide-HLA competition `mut_hla - wt_hla`; its hidden state is injected into the main `contrast_head` only. This keeps the change narrow and focused on scalar feature interpretation plus WT-vs-Mut contrast structure and HLA-conditioned interactions, while leaving objectives, pooling, sampling, and output-bias behavior unchanged. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	52	9424669	0.695918			discard		303.655642	38	Read `program.md` and `train.py`, then modified only `train.py`. Added `ordered_binding_preference_context`, a lightweight shared encoder over ordered mut/wt base binding scalars, their signed difference, shared peptide-HLA support `average_peptide * hla`, and signed HLA-conditioned advantage (`mut_hla - wt_hla` for mut, sign-flipped for wt). Its role-specific hidden state is appended to the mut-side and wt-side preference inputs before the shared allele-preference head, keeping the change narrow and focused on scalar feature blocks plus WT-vs-Mut contrast structure and HLA-conditioned interactions. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	53	850ef18	0.574899			discard		303.595955	40	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `scalar_hla_bridge` encoder that re-encodes comparison/context scalars together with the existing `binding_contrast_hidden`, signed peptide-HLA advantage, and shared peptide-HLA support. That bridge now feeds the existing `scalar_contrast_head` and `contrast_conditioner`, keeping the change narrow and focused on scalar feature interpretation plus WT-vs-Mut contrast structure and HLA-conditioned interactions. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	54	829d270	0.699519			discard		303.574856	19	Read `program.md` and `train.py`, then modified only `train.py`. Added a lightweight `preference_delta_refiner` that re-encodes `preference_delta_hidden` from four views: raw mut-vs-wt preference delta, mean mut/wt preference state, absolute preference separation, and existing `binding_contrast_hidden` when present. The refined delta is then used by the scalar contrast head and main contrast head, keeping the edit narrow and focused on scalar/WT-vs-Mut contrast structure plus HLA-conditioned interaction support. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	55	48dc423	0.710719			discard		303.595296	16	Read `program.md` and `train.py`, then modified only `train.py`. Added `preference_delta_refiner`, a lightweight encoder over the raw preference delta, mean mut/wt preference state, absolute preference separation, signed peptide-HLA advantage (`mut_hla - wt_hla`), shared peptide-HLA support (`average_peptide * hla`), and existing `binding_contrast_hidden` when available. The refined preference delta now feeds the existing scalar contrast and main WT-vs-Mut contrast path, keeping the change narrow and aligned with scalar/contrast/HLA-conditioned priorities. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	56	2e1095c	0.666019			discard		303.712583	26	Read `program.md` and `train.py`, then modified only `train.py`. Added a new default scalar block, `priority`, with six higher-level features: mutant EL crossed with stability, foreignness, and agretopicity, plus mutant-over-wildtype EL advantage crossed with those same signals. Routed that block into the existing selected scalar matrix and widened the existing scalar contrast / contrast-conditioning path from `comparison/context` to `comparison/context/priority`, keeping the change narrow and representation-focused. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	57	48739cc	0.650022			discard		303.740180	47	Read `program.md` and `train.py`, then modified only `train.py`. Added `preference_support_context`, a lightweight encoder over mean mut/wt preference state, absolute preference separation, existing `binding_contrast_hidden`, and shared peptide-HLA support (`average_peptide * hla`). Its hidden state is appended to the existing `preference_contrast_head` inputs and also passed into the main `contrast_head`, keeping the change narrow and focused on WT-vs-Mut contrast structure plus HLA-conditioned interaction support. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	58	a60fc4b	0.488646			discard		303.665111	21	Read `program.md` and `train.py`, then modified only `train.py`. Added `preference_contrast_conditioner`, a lightweight affine conditioner over the selected comparison/context scalar block, signed peptide-HLA advantage, and existing `binding_contrast_hidden` when available; it modulates the existing `preference_contrast_hidden` immediately after `preference_contrast_head`. This keeps the change small and focused on scalar feature interpretation plus the explicit WT-vs-Mut contrast path with HLA-conditioned interaction support. Verification: `python -m py_compile train.py` passed.
neoantigen	constrained	1	59	9bcca07	0.669905			discard		303.592163	26	Read `program.md` and `train.py`, then modified only `train.py`. Added a new default scalar block, `competition`, with five higher-level absolute mut/wt regime features: `mean_log_ba`, `mean_el_score`, `abs_log_ba_gap`, `abs_el_gap`, and `stability_x_mean_el`. Routed that block into the existing selected scalar matrix and widened only the existing scalar contrast / contrast-conditioning path from `comparison/context` to `comparison/context/competition`, keeping the edit narrow and representation-focused. Verification: `python -m py_compile train.py` passed.
